customer_age,customer_region,customer_tenure_months,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,complaints_count,real_is_detractor,risk_score,segmento_risco,acao_recomendada
66,Nordeste,108,555.83,5,30.85,8,7,3,47.55,3,2,2,6,1,0.93,Crítico,Atendimento imediato + comunicação proativa
37,Norte,22,190.65,1,26.6,10,2,0,29.47,2,1,5,3,0,0.55,Atenção,Monitorar pedido + contato preventivo
57,Nordeste,59,378.62,5,23.11,11,12,2,42.5,2,3,4,7,1,0.94,Crítico,Atendimento imediato + comunicação proativa
41,Centro-Oeste,70,335.79,4,24.22,6,12,2,49.03,1,4,9,9,1,0.99,Crítico,Atendimento imediato + comunicação proativa
64,Nordeste,61,981.65,2,11.46,8,8,2,33.33,3,2,2,4,1,0.63,Atenção,Monitorar pedido + contato preventivo
38,Sul,2,1003.78,6,8.75,7,13,1,20.2,3,3,3,5,1,0.7,Atenção,Monitorar pedido + contato preventivo
36,Sul,92,282.15,4,26.43,1,10,2,40.96,1,0,10,4,1,0.82,Crítico,Atendimento imediato + comunicação proativa
24,Sudeste,39,544.17,6,60.98,7,9,3,27.71,3,2,10,4,1,0.95,Crítico,Atendimento imediato + comunicação proativa
62,Sudeste,30,98.29,4,31.32,3,9,2,39.85,3,1,7,3,1,0.79,Crítico,Atendimento imediato + comunicação proativa
37,Nordeste,51,689.71,6,28.16,11,12,1,42.06,3,2,9,6,1,0.9,Crítico,Atendimento imediato + comunicação proativa
68,Sudeste,84,628.69,4,47.48,5,2,4,40.79,1,2,2,5,1,0.96,Crítico,Atendimento imediato + comunicação proativa
39,Nordeste,11,608.13,3,39.51,9,13,4,36.14,2,2,11,4,1,0.97,Crítico,Atendimento imediato + comunicação proativa
40,Norte,47,817.68,2,27.57,2,7,3,50.21,3,2,0,4,1,0.95,Crítico,Atendimento imediato + comunicação proativa
61,Nordeste,63,333.16,2,20.68,4,5,2,54.76,3,1,3,3,1,0.5,Atenção,Monitorar pedido + contato preventivo
52,Nordeste,97,342.72,4,11.63,6,7,0,33.36,1,2,2,5,1,0.7,Atenção,Monitorar pedido + contato preventivo
65,Sudeste,81,212.06,2,20.22,4,14,1,23.25,2,1,6,2,0,0.36,Monitoramento,Acompanhar indicadores operacionais
24,Centro-Oeste,35,68.85,1,140.73,9,13,0,43.23,3,0,4,1,0,0.31,Monitoramento,Acompanhar indicadores operacionais
66,Sudeste,77,978.28,2,2.27,1,4,3,31.69,1,0,1,3,0,0.71,Atenção,Monitorar pedido + contato preventivo
38,Sudeste,11,344.19,4,113.73,5,10,1,56.66,1,3,11,7,1,0.95,Crítico,Atendimento imediato + comunicação proativa
60,Sul,8,411.19,6,50.45,6,7,1,29.23,2,1,8,3,1,0.58,Atenção,Monitorar pedido + contato preventivo
58,Centro-Oeste,46,80.57,5,16.79,2,13,2,47.61,3,3,4,6,0,0.98,Crítico,Atendimento imediato + comunicação proativa
43,Norte,34,665.48,3,44.01,2,3,4,36.6,1,2,4,4,1,0.95,Crítico,Atendimento imediato + comunicação proativa
54,Norte,18,441.68,3,24.7,8,6,3,43.68,3,1,1,4,1,0.98,Crítico,Atendimento imediato + comunicação proativa
42,Centro-Oeste,113,550.88,5,1.45,2,13,0,23.52,1,1,11,1,0,0.35,Monitoramento,Acompanhar indicadores operacionais
28,Norte,112,448.35,5,5.93,3,5,1,35.76,1,1,10,3,1,0.54,Atenção,Monitorar pedido + contato preventivo
21,Nordeste,87,92.04,5,79.35,1,7,3,10.23,1,4,11,7,1,0.94,Crítico,Atendimento imediato + comunicação proativa
42,Nordeste,107,695.91,3,56.14,2,9,5,52.95,2,0,10,5,1,0.96,Crítico,Atendimento imediato + comunicação proativa
23,Centro-Oeste,110,453.33,5,129.59,8,2,2,42.95,1,2,7,5,1,0.83,Crítico,Atendimento imediato + comunicação proativa
26,Centro-Oeste,9,94.64,3,48.72,1,9,0,39.74,3,0,3,1,0,0.28,Regular,Fluxo padrão
56,Nordeste,63,927.18,1,20.25,4,12,1,41.54,2,1,6,2,0,0.19,Regular,Fluxo padrão
30,Sudeste,15,158.16,6,111.61,10,11,2,49.43,3,0,7,4,1,0.87,Crítico,Atendimento imediato + comunicação proativa
36,Sudeste,116,379.49,1,10.8,4,6,0,26.24,3,2,0,2,0,0.26,Regular,Fluxo padrão
46,Norte,90,460.54,5,6.15,3,13,3,40.54,3,1,6,3,1,0.9,Crítico,Atendimento imediato + comunicação proativa
19,Nordeste,114,153.61,3,32.96,8,4,1,42.81,3,0,1,3,1,0.33,Monitoramento,Acompanhar indicadores operacionais
46,Sudeste,22,337.65,1,21.17,3,5,3,21.26,3,1,1,3,0,0.85,Crítico,Atendimento imediato + comunicação proativa
48,Norte,95,318.3,4,12.38,10,9,2,43.2,1,2,2,5,1,0.82,Crítico,Atendimento imediato + comunicação proativa
52,Sul,21,764.43,3,4.78,3,3,4,52.18,2,0,0,2,0,0.63,Atenção,Monitorar pedido + contato preventivo
69,Nordeste,81,70.41,6,18.87,5,4,2,49.5,2,0,10,2,0,0.62,Atenção,Monitorar pedido + contato preventivo
57,Sudeste,111,265.48,5,12.86,2,2,4,38.92,3,0,10,4,1,0.95,Crítico,Atendimento imediato + comunicação proativa
25,Sudeste,98,335.88,6,4.24,2,11,1,44.77,2,2,6,7,1,0.88,Crítico,Atendimento imediato + comunicação proativa
28,Nordeste,32,1461.91,6,23.92,11,13,1,54.99,2,0,8,1,0,0.31,Monitoramento,Acompanhar indicadores operacionais
40,Sul,68,55.54,5,71.45,3,4,2,52.16,2,3,2,5,1,0.9,Crítico,Atendimento imediato + comunicação proativa
47,Sudeste,48,263.98,4,34.02,6,11,4,61.51,3,1,10,4,1,0.99,Crítico,Atendimento imediato + comunicação proativa
29,Sudeste,39,711.22,6,4.92,2,2,1,28.2,1,3,2,6,1,0.85,Crítico,Atendimento imediato + comunicação proativa
22,Sul,107,220.97,1,17.84,6,4,3,56.08,2,1,10,6,1,0.93,Crítico,Atendimento imediato + comunicação proativa
54,Sul,49,847.04,1,17.72,7,13,3,13.95,3,2,1,4,0,0.93,Crítico,Atendimento imediato + comunicação proativa
23,Centro-Oeste,6,698.12,6,4.94,8,14,4,23.75,2,0,0,3,1,0.78,Crítico,Atendimento imediato + comunicação proativa
38,Norte,11,431.19,6,4.15,2,8,2,29.1,1,0,0,2,1,0.45,Monitoramento,Acompanhar indicadores operacionais
25,Centro-Oeste,82,872.53,6,74.23,2,14,2,25.57,2,2,3,4,1,0.68,Atenção,Monitorar pedido + contato preventivo
54,Norte,39,375.09,4,5.51,2,9,1,39.8,3,1,10,4,1,0.7,Atenção,Monitorar pedido + contato preventivo
42,Sudeste,22,289.0,1,41.56,6,5,0,42.19,3,1,4,1,0,0.25,Regular,Fluxo padrão
41,Nordeste,71,12.13,1,35.19,8,4,4,29.34,1,1,9,4,1,0.95,Crítico,Atendimento imediato + comunicação proativa
26,Sudeste,21,809.27,6,4.35,6,14,1,60.27,1,3,7,7,1,0.83,Crítico,Atendimento imediato + comunicação proativa
56,Sul,31,688.36,5,77.19,5,4,2,42.26,1,0,10,2,1,0.43,Monitoramento,Acompanhar indicadores operacionais
41,Sul,89,203.38,2,71.48,2,10,1,38.52,2,3,11,8,1,0.98,Crítico,Atendimento imediato + comunicação proativa
41,Sul,77,471.91,6,67.89,5,13,0,42.32,1,2,3,2,0,0.34,Monitoramento,Acompanhar indicadores operacionais
31,Centro-Oeste,117,143.96,6,30.38,11,4,2,35.67,1,1,2,3,0,0.66,Atenção,Monitorar pedido + contato preventivo
32,Sudeste,71,199.41,1,12.09,11,5,3,21.15,2,0,2,8,1,0.84,Crítico,Atendimento imediato + comunicação proativa
30,Sudeste,45,139.62,4,5.5,7,8,1,60.85,1,7,1,10,1,0.79,Crítico,Atendimento imediato + comunicação proativa
67,Norte,20,87.08,2,15.68,1,6,1,53.79,3,1,3,3,0,0.53,Atenção,Monitorar pedido + contato preventivo
60,Centro-Oeste,67,663.31,6,37.22,10,6,4,45.09,1,2,9,6,1,0.98,Crítico,Atendimento imediato + comunicação proativa
33,Sudeste,55,442.57,2,26.19,8,7,1,35.59,2,3,3,5,0,0.68,Atenção,Monitorar pedido + contato preventivo
63,Norte,11,193.62,3,41.32,8,10,3,55.43,3,1,2,5,1,0.99,Crítico,Atendimento imediato + comunicação proativa
21,Norte,46,262.34,6,2.51,11,11,4,41.05,2,2,3,8,1,0.96,Crítico,Atendimento imediato + comunicação proativa
44,Centro-Oeste,86,61.68,4,29.44,2,11,2,28.64,2,3,5,5,1,0.94,Crítico,Atendimento imediato + comunicação proativa
56,Norte,103,467.14,4,23.81,5,12,2,38.45,3,1,9,5,1,0.92,Crítico,Atendimento imediato + comunicação proativa
34,Centro-Oeste,119,508.03,4,28.57,1,7,2,44.75,3,1,11,3,1,0.77,Crítico,Atendimento imediato + comunicação proativa
26,Norte,75,519.09,5,83.58,4,11,5,40.47,2,0,0,5,1,0.87,Crítico,Atendimento imediato + comunicação proativa
26,Sul,1,196.28,4,16.38,7,12,3,23.0,1,1,11,4,1,0.92,Crítico,Atendimento imediato + comunicação proativa
58,Sudeste,47,221.05,2,17.25,3,5,2,48.59,2,1,5,4,0,0.79,Crítico,Atendimento imediato + comunicação proativa
47,Sudeste,85,252.69,1,8.74,5,4,2,30.52,3,0,11,3,1,0.82,Crítico,Atendimento imediato + comunicação proativa
47,Sudeste,86,180.27,6,0.28,8,11,1,33.55,3,1,1,4,1,0.42,Monitoramento,Acompanhar indicadores operacionais
19,Sudeste,113,198.1,3,3.57,1,2,1,31.99,3,2,10,4,0,0.76,Crítico,Atendimento imediato + comunicação proativa
60,Sul,5,145.26,3,7.08,9,4,2,27.2,1,4,11,7,1,0.98,Crítico,Atendimento imediato + comunicação proativa
47,Nordeste,18,463.71,3,9.89,4,5,0,17.21,3,1,7,3,1,0.43,Monitoramento,Acompanhar indicadores operacionais
38,Sul,22,362.26,3,30.18,6,6,2,46.03,3,2,6,3,0,0.45,Monitoramento,Acompanhar indicadores operacionais
44,Nordeste,12,1372.62,2,67.88,3,6,0,55.08,3,0,2,0,0,0.29,Regular,Fluxo padrão
19,Sul,76,489.59,6,39.27,8,8,4,53.25,1,3,10,6,1,0.98,Crítico,Atendimento imediato + comunicação proativa
44,Sudeste,80,404.4,2,12.49,10,5,5,25.46,2,1,10,4,1,0.99,Crítico,Atendimento imediato + comunicação proativa
36,Norte,117,631.64,1,14.7,2,11,0,45.79,2,1,3,4,1,0.51,Atenção,Monitorar pedido + contato preventivo
36,Nordeste,50,135.24,4,14.51,4,8,5,44.62,2,3,3,7,1,0.98,Crítico,Atendimento imediato + comunicação proativa
49,Sul,23,454.98,6,15.8,10,5,4,49.35,2,1,8,4,1,0.93,Crítico,Atendimento imediato + comunicação proativa
38,Sudeste,109,303.79,3,1.84,9,8,2,33.76,3,4,4,7,1,0.97,Crítico,Atendimento imediato + comunicação proativa
47,Sul,118,482.64,6,2.69,4,8,2,53.03,2,1,9,5,1,0.93,Crítico,Atendimento imediato + comunicação proativa
35,Nordeste,52,477.56,3,53.1,4,14,1,28.06,3,4,11,6,1,0.98,Crítico,Atendimento imediato + comunicação proativa
52,Sudeste,12,173.52,6,14.92,4,12,3,29.28,2,2,11,6,1,0.96,Crítico,Atendimento imediato + comunicação proativa
46,Norte,87,506.53,6,2.69,8,11,1,31.43,3,1,1,4,0,0.41,Monitoramento,Acompanhar indicadores operacionais
56,Nordeste,7,501.43,5,66.56,2,14,3,23.44,1,1,5,4,1,0.89,Crítico,Atendimento imediato + comunicação proativa
30,Norte,91,202.48,3,23.26,6,4,1,39.75,2,1,3,3,0,0.28,Regular,Fluxo padrão
34,Sul,88,309.13,5,38.91,8,9,5,36.58,3,4,5,6,1,1.0,Crítico,Atendimento imediato + comunicação proativa
53,Sudeste,106,273.2,6,10.77,1,12,4,54.32,1,1,4,4,1,0.96,Crítico,Atendimento imediato + comunicação proativa
50,Centro-Oeste,21,916.97,1,55.2,8,3,1,43.57,1,0,11,2,1,0.41,Monitoramento,Acompanhar indicadores operacionais
47,Nordeste,16,302.88,4,72.49,5,2,6,39.62,3,1,6,3,1,0.94,Crítico,Atendimento imediato + comunicação proativa
57,Sudeste,63,1153.7,4,5.89,7,8,4,39.96,2,3,6,5,1,0.95,Crítico,Atendimento imediato + comunicação proativa
34,Sul,11,269.15,4,78.77,2,10,2,49.66,2,1,10,2,0,0.54,Atenção,Monitorar pedido + contato preventivo
45,Nordeste,95,285.22,3,67.41,8,10,1,45.55,3,1,1,3,1,0.29,Regular,Fluxo padrão
31,Norte,102,140.0,4,26.97,4,3,2,34.58,1,2,1,6,1,0.84,Crítico,Atendimento imediato + comunicação proativa
60,Norte,94,93.21,4,2.75,10,4,5,49.82,1,4,4,6,1,0.97,Crítico,Atendimento imediato + comunicação proativa
32,Sul,73,676.14,1,68.44,4,11,2,43.14,1,1,8,2,0,0.42,Monitoramento,Acompanhar indicadores operacionais
57,Sudeste,47,450.65,5,4.79,6,12,1,43.3,3,1,2,4,0,0.45,Monitoramento,Acompanhar indicadores operacionais
42,Norte,11,380.12,4,5.09,3,13,1,67.79,2,2,5,3,0,0.49,Monitoramento,Acompanhar indicadores operacionais
36,Nordeste,14,492.2,2,23.28,11,5,1,42.8,1,1,9,4,0,0.67,Atenção,Monitorar pedido + contato preventivo
23,Sudeste,106,286.17,5,4.5,2,7,2,33.71,2,1,6,4,1,0.91,Crítico,Atendimento imediato + comunicação proativa
40,Sul,115,262.62,3,8.32,3,4,6,46.55,2,1,0,3,1,0.83,Crítico,Atendimento imediato + comunicação proativa
54,Norte,75,617.46,3,24.83,7,13,3,22.99,2,2,2,5,1,0.94,Crítico,Atendimento imediato + comunicação proativa
58,Nordeste,83,840.99,5,28.96,2,9,1,56.54,1,3,2,5,1,0.83,Crítico,Atendimento imediato + comunicação proativa
26,Centro-Oeste,89,845.79,2,4.21,3,9,2,46.93,2,0,2,2,1,0.37,Monitoramento,Acompanhar indicadores operacionais
54,Sudeste,50,402.0,5,2.08,1,12,1,22.27,1,2,10,5,1,0.87,Crítico,Atendimento imediato + comunicação proativa
21,Sudeste,80,301.56,2,23.06,10,3,0,32.81,1,1,3,4,0,0.62,Atenção,Monitorar pedido + contato preventivo
55,Nordeste,108,339.6,3,3.83,7,9,1,34.93,2,1,9,3,1,0.48,Monitoramento,Acompanhar indicadores operacionais
58,Norte,85,448.1,1,26.13,2,5,4,30.86,2,2,3,4,1,0.95,Crítico,Atendimento imediato + comunicação proativa
37,Centro-Oeste,64,927.01,4,2.17,7,7,5,20.32,1,2,9,4,1,0.96,Crítico,Atendimento imediato + comunicação proativa
64,Sudeste,91,943.87,2,72.92,11,11,2,48.08,3,2,1,6,1,0.8,Crítico,Atendimento imediato + comunicação proativa
68,Sul,107,364.49,6,20.0,11,13,0,24.52,2,0,11,1,0,0.34,Monitoramento,Acompanhar indicadores operacionais
61,Sudeste,55,816.09,3,14.98,11,3,3,49.61,2,3,5,5,1,0.95,Crítico,Atendimento imediato + comunicação proativa
67,Sudeste,111,422.86,5,33.25,3,14,2,43.08,1,1,8,4,1,0.79,Crítico,Atendimento imediato + comunicação proativa
37,Nordeste,99,310.79,6,8.4,2,11,1,44.14,1,1,2,4,1,0.49,Monitoramento,Acompanhar indicadores operacionais
32,Centro-Oeste,77,421.44,1,4.7,10,13,0,39.67,1,1,5,1,0,0.16,Regular,Fluxo padrão
34,Sul,87,394.66,2,26.15,11,7,4,31.48,1,0,11,4,1,0.97,Crítico,Atendimento imediato + comunicação proativa
50,Norte,80,225.87,1,11.69,6,13,2,20.35,2,5,4,7,1,0.91,Crítico,Atendimento imediato + comunicação proativa
65,Sul,46,275.69,3,36.94,10,13,3,45.27,1,3,2,5,1,1.0,Crítico,Atendimento imediato + comunicação proativa
52,Nordeste,5,243.15,4,14.69,9,3,3,49.71,2,1,1,4,1,0.96,Crítico,Atendimento imediato + comunicação proativa
52,Norte,35,250.99,3,1.29,1,4,4,38.52,1,1,10,4,1,0.97,Crítico,Atendimento imediato + comunicação proativa
27,Sudeste,58,216.17,6,19.93,5,14,2,20.09,2,3,9,6,1,0.92,Crítico,Atendimento imediato + comunicação proativa
18,Nordeste,70,167.65,6,69.74,11,11,2,58.51,3,1,5,4,1,0.89,Crítico,Atendimento imediato + comunicação proativa
56,Nordeste,22,399.72,2,8.74,2,9,3,20.15,2,2,3,4,1,0.95,Crítico,Atendimento imediato + comunicação proativa
66,Nordeste,57,74.87,2,23.68,8,10,0,34.17,3,0,6,1,1,0.25,Regular,Fluxo padrão
38,Norte,73,973.75,6,14.22,10,3,4,22.49,2,1,1,4,1,0.97,Crítico,Atendimento imediato + comunicação proativa
35,Centro-Oeste,44,629.15,2,41.01,11,5,3,28.9,1,5,8,8,1,0.99,Crítico,Atendimento imediato + comunicação proativa
48,Centro-Oeste,113,592.69,4,38.79,9,4,0,37.25,2,1,2,3,1,0.43,Monitoramento,Acompanhar indicadores operacionais
65,Norte,53,438.07,5,20.56,10,2,3,40.28,3,0,6,3,1,0.92,Crítico,Atendimento imediato + comunicação proativa
51,Centro-Oeste,71,660.28,1,7.44,2,13,2,38.91,2,1,1,5,0,0.79,Crítico,Atendimento imediato + comunicação proativa
39,Sul,16,309.91,3,9.87,7,13,2,16.17,1,2,9,4,1,0.88,Crítico,Atendimento imediato + comunicação proativa
21,Nordeste,47,143.82,3,42.0,9,8,3,51.74,1,2,3,5,1,1.0,Crítico,Atendimento imediato + comunicação proativa
55,Sul,21,187.18,3,2.86,10,6,1,35.7,3,3,4,6,1,0.76,Crítico,Atendimento imediato + comunicação proativa
60,Nordeste,95,55.61,2,26.26,3,14,3,20.22,1,2,5,4,1,0.97,Crítico,Atendimento imediato + comunicação proativa
20,Nordeste,39,478.48,2,1.91,5,13,1,19.27,3,2,1,5,1,0.66,Atenção,Monitorar pedido + contato preventivo
25,Sudeste,62,326.42,6,2.51,3,2,0,25.13,3,2,9,3,1,0.55,Atenção,Monitorar pedido + contato preventivo
41,Sul,101,335.21,3,5.99,10,12,1,34.0,3,2,3,4,0,0.62,Atenção,Monitorar pedido + contato preventivo
47,Norte,80,681.46,6,9.48,5,2,1,67.06,3,1,4,2,0,0.32,Monitoramento,Acompanhar indicadores operacionais
32,Nordeste,12,234.09,3,4.68,10,6,5,56.03,3,1,6,3,1,0.91,Crítico,Atendimento imediato + comunicação proativa
32,Centro-Oeste,41,93.09,3,41.18,6,2,1,26.47,2,5,5,7,1,0.89,Crítico,Atendimento imediato + comunicação proativa
52,Sudeste,116,110.48,2,30.15,5,2,2,19.39,1,2,4,5,0,0.85,Crítico,Atendimento imediato + comunicação proativa
69,Centro-Oeste,84,526.69,1,0.11,11,14,2,30.87,2,2,10,5,1,0.84,Crítico,Atendimento imediato + comunicação proativa
25,Sudeste,37,427.0,2,18.75,1,12,3,37.03,1,2,3,5,1,0.94,Crítico,Atendimento imediato + comunicação proativa
52,Nordeste,12,73.61,2,16.07,7,12,0,36.42,2,1,5,3,0,0.5,Atenção,Monitorar pedido + contato preventivo
66,Norte,88,527.69,6,115.35,2,11,2,52.71,1,1,2,6,0,0.83,Crítico,Atendimento imediato + comunicação proativa
59,Norte,80,427.38,2,11.99,9,12,4,33.5,1,2,11,4,1,0.96,Crítico,Atendimento imediato + comunicação proativa
48,Centro-Oeste,15,117.97,2,28.35,5,2,3,28.02,2,2,11,6,1,0.98,Crítico,Atendimento imediato + comunicação proativa
28,Norte,115,208.24,3,1.81,6,4,3,5.93,1,4,10,8,1,0.98,Crítico,Atendimento imediato + comunicação proativa
37,Sudeste,30,627.83,1,89.05,6,6,3,49.16,3,1,8,3,0,0.86,Crítico,Atendimento imediato + comunicação proativa
54,Nordeste,5,404.13,6,19.41,2,10,3,25.98,2,4,10,6,1,0.89,Crítico,Atendimento imediato + comunicação proativa
60,Sudeste,98,872.85,5,12.55,3,9,3,52.29,1,1,0,3,1,0.77,Crítico,Atendimento imediato + comunicação proativa
34,Nordeste,69,195.24,5,28.31,1,5,4,30.12,3,0,2,3,1,0.84,Crítico,Atendimento imediato + comunicação proativa
60,Sudeste,45,289.33,1,14.56,9,2,3,21.79,2,1,10,4,1,0.96,Crítico,Atendimento imediato + comunicação proativa
34,Nordeste,66,165.88,3,19.29,5,11,3,41.46,3,0,9,3,0,0.85,Crítico,Atendimento imediato + comunicação proativa
57,Centro-Oeste,114,446.55,2,69.16,9,13,2,32.84,1,4,4,7,1,0.98,Crítico,Atendimento imediato + comunicação proativa
54,Sudeste,67,83.33,2,3.26,4,11,0,49.72,3,0,9,0,0,0.29,Regular,Fluxo padrão
33,Norte,87,233.41,2,36.64,2,14,6,43.03,3,1,2,3,1,0.9,Crítico,Atendimento imediato + comunicação proativa
50,Norte,17,366.89,2,59.58,4,8,0,46.5,3,1,6,1,0,0.24,Regular,Fluxo padrão
48,Norte,56,150.15,5,36.37,7,6,4,44.72,2,3,9,6,1,1.0,Crítico,Atendimento imediato + comunicação proativa
47,Norte,96,264.58,2,40.84,8,7,4,48.75,1,0,5,2,1,0.86,Crítico,Atendimento imediato + comunicação proativa
50,Sudeste,49,266.59,2,18.44,9,6,0,34.51,2,2,2,3,0,0.28,Regular,Fluxo padrão
45,Centro-Oeste,92,562.8,2,9.95,11,8,4,33.53,1,2,11,5,1,0.98,Crítico,Atendimento imediato + comunicação proativa
29,Centro-Oeste,7,149.9,2,34.58,11,11,2,37.97,3,0,7,2,0,0.6,Atenção,Monitorar pedido + contato preventivo
55,Sudeste,69,110.92,5,75.5,7,11,3,51.15,2,3,11,5,1,0.98,Crítico,Atendimento imediato + comunicação proativa
24,Sul,56,360.68,3,12.87,3,13,2,35.39,3,1,9,2,0,0.47,Monitoramento,Acompanhar indicadores operacionais
43,Nordeste,53,101.0,5,12.18,2,14,2,40.28,2,1,9,5,1,0.9,Crítico,Atendimento imediato + comunicação proativa
42,Sul,43,234.72,6,29.23,6,8,4,60.15,3,1,3,5,1,0.97,Crítico,Atendimento imediato + comunicação proativa
44,Centro-Oeste,39,70.87,6,16.05,6,4,3,22.09,1,1,11,5,1,0.95,Crítico,Atendimento imediato + comunicação proativa
43,Centro-Oeste,75,869.54,4,21.59,8,2,3,57.59,3,0,11,2,1,0.67,Atenção,Monitorar pedido + contato preventivo
63,Centro-Oeste,6,61.75,4,81.68,6,14,1,62.32,3,3,10,5,1,0.89,Crítico,Atendimento imediato + comunicação proativa
24,Sudeste,13,323.96,1,0.24,1,2,0,39.88,1,4,6,6,1,0.82,Crítico,Atendimento imediato + comunicação proativa
59,Sul,78,288.59,6,59.46,7,7,4,35.22,2,2,5,6,1,0.99,Crítico,Atendimento imediato + comunicação proativa
66,Centro-Oeste,28,605.25,5,16.65,7,14,2,32.12,2,2,4,4,0,0.76,Crítico,Atendimento imediato + comunicação proativa
68,Centro-Oeste,35,272.27,2,45.75,1,2,2,44.38,1,0,2,1,0,0.4,Monitoramento,Acompanhar indicadores operacionais
19,Norte,18,507.76,2,39.16,10,5,1,41.88,3,2,5,6,1,0.76,Crítico,Atendimento imediato + comunicação proativa
25,Norte,98,547.68,2,8.1,4,13,2,52.91,3,2,8,4,1,0.79,Crítico,Atendimento imediato + comunicação proativa
57,Sul,6,27.01,2,83.21,1,2,0,30.99,1,0,3,1,1,0.48,Monitoramento,Acompanhar indicadores operacionais
49,Sul,10,74.37,1,41.6,11,10,3,28.73,1,2,0,4,1,0.88,Crítico,Atendimento imediato + comunicação proativa
31,Centro-Oeste,76,1135.28,6,0.48,10,10,2,36.32,3,2,0,4,1,0.74,Atenção,Monitorar pedido + contato preventivo
34,Norte,66,407.43,3,3.62,4,2,2,46.36,1,5,9,7,1,0.98,Crítico,Atendimento imediato + comunicação proativa
42,Sul,68,912.45,5,16.92,10,2,4,42.95,2,2,5,4,1,0.95,Crítico,Atendimento imediato + comunicação proativa
56,Sul,36,133.98,1,52.6,11,12,0,55.25,2,0,6,1,0,0.21,Regular,Fluxo padrão
40,Nordeste,34,326.11,4,3.28,4,4,2,58.28,2,1,2,2,0,0.46,Monitoramento,Acompanhar indicadores operacionais
56,Norte,12,270.95,3,15.04,1,12,5,49.38,3,0,8,2,1,0.9,Crítico,Atendimento imediato + comunicação proativa
39,Sul,55,211.59,2,40.16,5,4,3,24.0,1,2,0,6,1,0.95,Crítico,Atendimento imediato + comunicação proativa
39,Nordeste,15,290.71,5,63.27,11,3,1,40.71,3,1,9,3,1,0.54,Atenção,Monitorar pedido + contato preventivo
66,Sul,41,366.75,6,12.65,6,10,3,38.42,1,1,7,3,1,0.97,Crítico,Atendimento imediato + comunicação proativa
67,Norte,82,306.06,2,71.6,2,9,4,13.5,3,0,5,2,1,0.73,Atenção,Monitorar pedido + contato preventivo
23,Sudeste,14,523.64,3,2.59,1,10,5,29.8,1,2,1,4,1,0.9,Crítico,Atendimento imediato + comunicação proativa
45,Sul,74,239.69,6,59.64,9,12,3,33.4,3,1,2,3,1,0.86,Crítico,Atendimento imediato + comunicação proativa
35,Sul,11,365.01,4,43.4,7,11,3,40.95,2,1,11,4,1,0.95,Crítico,Atendimento imediato + comunicação proativa
19,Sudeste,67,430.96,2,6.8,2,10,3,16.33,1,1,4,3,1,0.75,Crítico,Atendimento imediato + comunicação proativa
21,Sul,118,662.69,4,42.11,7,12,3,42.97,2,0,3,2,1,0.67,Atenção,Monitorar pedido + contato preventivo
53,Nordeste,88,197.32,5,22.76,6,3,3,29.48,1,0,9,3,1,0.89,Crítico,Atendimento imediato + comunicação proativa
36,Sudeste,8,592.31,2,53.73,2,11,4,49.56,1,1,8,5,1,0.95,Crítico,Atendimento imediato + comunicação proativa
19,Sul,91,288.4,5,88.04,7,12,1,48.47,2,2,5,5,0,0.86,Crítico,Atendimento imediato + comunicação proativa
27,Sudeste,42,165.19,5,52.82,5,10,1,63.92,3,0,8,2,1,0.45,Monitoramento,Acompanhar indicadores operacionais
18,Sul,75,374.21,1,56.94,4,12,4,65.91,3,1,2,5,1,0.94,Crítico,Atendimento imediato + comunicação proativa
57,Nordeste,20,94.62,4,45.77,1,3,5,36.95,3,1,10,4,1,0.93,Crítico,Atendimento imediato + comunicação proativa
31,Sudeste,29,146.7,1,11.31,11,11,0,42.13,3,3,5,3,0,0.41,Monitoramento,Acompanhar indicadores operacionais
38,Centro-Oeste,47,165.25,3,13.59,3,12,2,33.32,1,1,4,3,0,0.83,Crítico,Atendimento imediato + comunicação proativa
42,Centro-Oeste,44,322.78,2,12.25,11,6,2,43.98,2,2,2,6,1,0.82,Crítico,Atendimento imediato + comunicação proativa
32,Sudeste,79,396.07,4,126.81,1,9,2,43.86,1,2,4,4,1,0.67,Atenção,Monitorar pedido + contato preventivo
24,Norte,62,554.48,6,12.97,7,12,0,68.54,2,2,8,7,1,0.8,Crítico,Atendimento imediato + comunicação proativa
20,Norte,78,618.38,6,15.23,10,3,1,42.32,2,0,4,3,1,0.58,Atenção,Monitorar pedido + contato preventivo
24,Norte,94,313.25,1,3.01,7,6,1,34.23,2,3,11,5,1,0.86,Crítico,Atendimento imediato + comunicação proativa
68,Sudeste,116,177.39,4,44.7,10,8,3,34.29,2,2,8,4,1,0.95,Crítico,Atendimento imediato + comunicação proativa
48,Sudeste,45,289.31,5,2.66,3,14,1,41.1,3,0,9,4,1,0.72,Atenção,Monitorar pedido + contato preventivo
48,Norte,80,234.17,1,42.49,11,5,1,40.51,3,1,7,2,0,0.51,Atenção,Monitorar pedido + contato preventivo
67,Nordeste,40,201.55,4,7.05,11,7,1,34.9,1,0,0,3,0,0.32,Monitoramento,Acompanhar indicadores operacionais
30,Nordeste,72,486.17,2,83.69,10,5,5,52.08,2,2,1,7,1,0.96,Crítico,Atendimento imediato + comunicação proativa
